Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2WigMwGJysIh9fRnSJvpjn,"3WTrdbZU99dgTtt3ZkyamT","KU LO SA - A COLORS SHOW","KU LO SA - A COLORS SHOW","Oxlade",2022-06-10,147580,79,spotify:user:rmal1103401,2022-12-04T22:34:20Z,"afrobeats,nigerian pop",0.649,0.655,10,-5.534,0,0.0652,0.307,0,0.22,0.793,92.9,4
0M8zgwFqNr6h2yX1405Z8S,"6BhoGzrwRr9eELLBJ55ldo,520qA5VGL9iI0SbmEnTVNg,379IT6Szv0zgnw4xrdu4mu","Medicine (feat. Maleek Berry & LADIPOE)","Medicine (feat. Maleek Berry & LADIPOE)","Eugy,Maleek Berry,LADIPOE",2022-11-18,252055,41,spotify:user:rmal1103401,2022-12-04T22:45:22Z,"afrobeats,afropop,ghanaian hip hop,swedish dancehall,uk dancehall,azontobeats,nigerian pop",0.581,0.501,0,-11.908,0,0.38,0.563,0.000104,0.134,0.758,100.523,4
6pK1SixhWsATn6uuVWtaWX,"7dNuDxuZN795qebo6RlTwK,2XNwtpu314ZSFziTt0ZqZT,53EHeXzGs4HheTCTnwfPEr","Body Nice","Phase One","255,Minz,SFR",2022-11-25,197286,22,spotify:user:rmal1103401,2022-12-05T07:18:21Z,"afrobeats,nigerian pop",0.811,0.525,6,-8.173,0,0.06,0.149,0.00961,0.0999,0.657,99.011,4
1U2fUzMkgprQoocKlYu3Oj,"048LktY5zMnakWq7PTtFrz","you","you","CKay",2022-08-26,175504,0,spotify:user:rmal1103401,2022-12-05T08:03:07Z,"afro r&b,afrobeats",0.549,0.538,9,-6.731,1,0.0433,0.212,0.0319,0.127,0.128,180.047,4
7CGwYCUFYdGKuW3KNYtw6K,"4qgwPhVCW359a62QYueaVP,4QSTyDpxsKmv3UfavVUImR,14PimM6ohO2gYftuwTam9V","Falling","Falling","Smallgod,Darkoo,KiDi",2022-03-18,165142,0,spotify:user:rmal1103401,2022-12-05T08:09:11Z,"asakaa,afrobeats,afroswing,london rap,uk hip hop,ghanaian pop",0.737,0.705,6,-8.523,1,0.0818,0.473,0.000331,0.131,0.259,102.011,4
1z3Lac4bdl57XLcu35ma1M,"6dlzQ6fiPna40trq1Ek6cb","No Wahala","No Wahala","1da Banton",2021-07-02,162285,61,spotify:user:rmal1103401,2022-12-06T03:59:48Z,"afrobeats,nigerian pop",0.808,0.639,11,-7.244,0,0.147,0.621,0.0281,0.231,0.612,105.016,4
6XM53PbvlzhuNtJZtpl7RP,"1xBARhKI09ZTmeePVDWMCf,67nwj3Y5sZQLl72VNUHEYE","In My Bed","The Beauty of Becoming","Rotimi,Wale",2019-12-13,185461,71,spotify:user:rmal1103401,2022-12-06T04:00:02Z,"pop r&b,pop rap,r&b,rap,southern hip hop,trap",0.637,0.501,0,-6.148,0,0.187,0.229,0.0000591,0.099,0.431,103.993,4
5YbPxJwPfrj7uswNwoF1pJ,"3wcj11K77LjEY1PkEazffa","Last Last","Love, Damini","Burna Boy",2022-07-07,172342,80,spotify:user:rmal1103401,2022-12-06T04:00:18Z,"afrobeats,azontobeats,dancehall,nigerian hip hop,nigerian pop",0.795,0.565,3,-4.457,0,0.0948,0.131,0,0.0802,0.55,87.925,4
319xYgRF9JFpGLTtiCDhC7,"5jypR313fdSfpa6y1GMLqZ,6qgNjbWXJ9mbqKwznBLj5B,4qYpTEJThZ8FC8KzyFrSWW,5Req3092u4LKlAcv6kZALj,687cZJR45JO7jhk1LHIbgq","Trouble","Pioneers","DRB Lasgidi,Teezee,Boj,Fresh L.,Tems",2020-05-01,194594,59,spotify:user:rmal1103401,2022-12-08T23:36:24Z,"afrobeats,alte,nigerian pop,afro r&b",0.825,0.738,10,-5.612,0,0.166,0.0194,0,0.294,0.555,110.906,4
2HYcI74UpbMMxLZ1m7Xnfn,"3tVQdUvClmAT7URs9V3rsp","Bad To Me","More Love, Less Ego","Wizkid",2022-11-11,178586,61,spotify:user:rmal1103401,2022-12-24T00:14:32Z,"afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",0.859,0.811,5,-4.594,0,0.0473,0.0609,0.0147,0.0955,0.916,110.05,4
7voSun33hCNkIrjxaj3g47,"75VKfyoBlkmrJFDqo1o2VY,1URnnhqYAYcrqrcwql10ft,4qXC0i02bSFstECuXP2ZpL","Peru - Remix","Peru (Remix)","Fireboy DML,21 Savage,Blxst",2022-02-11,186952,62,spotify:user:rmal1103401,2022-12-24T00:15:07Z,"afrobeats,nigerian pop,atl hip hop,hip hop,rap,pop rap,westcoast flow",0.966,0.509,7,-7.559,0,0.123,0.496,0,0.0799,0.646,108.013,4
6XdAvTC80727JAI9HBAVLc,"6dlzQ6fiPna40trq1Ek6cb","Ego","Ego","1da Banton",2022-10-14,156080,57,spotify:user:rmal1103401,2022-12-24T00:21:10Z,"afrobeats,nigerian pop",0.806,0.671,7,-7.919,1,0.151,0.253,0,0.432,0.772,100.016,4
7tzOeM0LbXJYMzjny2D45r,"6dlzQ6fiPna40trq1Ek6cb","Summer Love","Summer Love","1da Banton",2022-06-03,179417,53,spotify:user:rmal1103401,2022-12-24T00:26:34Z,"afrobeats,nigerian pop",0.73,0.568,6,-6.033,0,0.188,0.0134,0.00000127,0.205,0.311,102.754,4
1JDxpKlpGehMGOtclizdVT,"6dlzQ6fiPna40trq1Ek6cb,4mSWNal2Ixxf1zrXSTLoep","No Sleeping","Original Vibe Machine","1da Banton,Zlatan",2021-07-23,165656,53,spotify:user:rmal1103401,2022-12-24T00:26:37Z,"afrobeats,nigerian pop",0.747,0.635,10,-6.73,0,0.363,0.183,0,0.0893,0.685,67.357,5
